URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_COMPLEX_WORDS,FOG_INDEX,AVG_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLES_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,132.0,45.0,0.49152542095183377,0.10381231665465553,9.63276836158192,0.4961876832844575,4.051582417946551,9.63276836158192,846.0,1705.0,2.5882697947214077,2.0,7.8885630498533725
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,19.0,6.0,0.5199999792000009,0.0750750748496244,6.403846153846154,0.42042042042042044,2.72970662970663,6.403846153846154,140.0,333.0,2.4954954954954953,1.0,7.891891891891892
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,17.0,10.0,0.2592592496570648,0.06537530250514455,11.8,0.324455205811138,4.849782082324456,11.8,134.0,413.0,2.222760290556901,1.0,7.319612590799031
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,11.0,6.0,0.2941176297577865,0.051204819122877054,6.264150943396227,0.39457831325301207,2.663491702659696,6.264150943396227,131.0,332.0,2.3072289156626504,1.0,7.4879518072289155
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,15.0,3.0,0.6666666296296316,0.05232558124323959,11.862068965517242,0.40406976744186046,4.906455493183642,11.862068965517242,139.0,344.0,2.36046511627907,1.0,7.523255813953488
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,9.0,11.0,-0.09999999500000024,0.06211180104934223,6.0754716981132075,0.40372670807453415,2.5916793624750967,6.0754716981132075,130.0,322.0,2.3198757763975157,1.0,7.425465838509317
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,6.0,4.0,0.19999998000000202,0.040650406338819486,8.482758620689655,0.3780487804878049,3.5443229604709843,8.482758620689655,93.0,246.0,2.2113821138211383,1.0,7.178861788617886
bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,6.0,3.0,0.33333329629630043,0.035999999856,10.0,0.332,4.1328000000000005,10.0,83.0,250.0,2.168,1.0,7.268
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,7.0,15.0,-0.36363634710743875,0.07457627093363976,11.346153846153847,0.2745762711864407,4.648292046936115,11.346153846153847,81.0,295.0,2.0033898305084747,1.0,6.928813559322034
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,20.0,9.0,0.37931033174791956,0.06290672437547348,15.89655172413793,0.4837310195227766,6.552113097464283,15.89655172413793,223.0,461.0,2.5010845986984815,4.0,7.724511930585683
